na_item,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
B1GQ,CP_EUR_HAB,AL	2630 	2990 	2960 	3090 	3190 	3300 	3320 	3450 	3560 	3730 	4020 p	: 
B1GQ,CP_EUR_HAB,AT	34230 	35300 	34530 	35390 	36970 	37820 	38210 	38990 	39890 	40880 	42100 	43640 
B1GQ,CP_EUR_HAB,BE	32340 	32840 	32090 	33330 	34200 	34890 	35320 	36050 	37080 	38100 	39330 	40320 
B1GQ,CP_EUR_HAB,BG	4240 	4880 	4930 	5050 	5610 	5750 p	5770 p	5940 p	6360 p	6820 p	7390 p	7980 p
B1GQ,CP_EUR_HAB,CH	46210 	49250 	50190 	56150 	63700 	64990 	64080 	65320 	73970 	72460 	71260 p	70120 p
B1GQ,CP_EUR_HAB,CY	22930 	24170 	23110 	23400 	23270 	22500 	20880 	20420 	21030 	22160 	23320 	24290 p
B1GQ,CP_EUR_HAB,CZ	13400 	15470 	14170 	14900 	15630 	15360 	15010 	14880 	15980 	16690 	18100 	19550 
B1GQ,CP_EUR_HAB,DE	30860 	31530 	30390 	31940 	33550 	34130 	34860 	36150 	37090 	38060 	39260 	40340 
B1GQ,CP_EUR_HAB,DK	42740 	43990 	41880 	43840 	44500 	45530 	46100 	47090 	48050 	49420 	50700 	52010 
B1GQ,CP_EUR_HAB,EA	29060 	29540 	28140 	28850 	29480 	29500 	29710 	30230 	31030 	31800 	32850 	33830 
B1GQ,CP_EUR_HAB,EA19	28330 	28890 	27760 	28470 	29190 	29220 	29450 	30070 	31030 	31800 	32850 	33830 
B1GQ,CP_EUR_HAB,EE	12210 	12430 	10640 	11150 	12660 	13620 	14420 	15340 	15820 	16490 	18070 	19740 
B1GQ,CP_EUR_HAB,EL	21060 	21840 	21390 	20320 	18640 p	17310 p	16480 p	16400 p	16380 p	16380 p	16760 p	17220 p
B1GQ,CP_EUR_HAB,ES	23780 	24130 	23060 	23040 	22760 	22050 	21900 	22220 	23220 	23980 	24970 p	25730 p
B1GQ,CP_EUR_HAB,EU28	26070 	26130 	24530 	25500 	26220 	26680 	26850 	27720 	29140 	29300 	30070 	30960 
B1GQ,CP_EUR_HAB,FI	35370 	36560 	34040 	35080 	36750 	37130 	37570 	37880 	38590 	39580 	40990 	42500 
B1GQ,CP_EUR_HAB,FR	30330 	30960 	29930 	30690 	31510 	31820 	32080 	32420 	33020 	33430 	34220 p	34980 p
B1GQ,CP_EUR_HAB,HR	10200 	11130 	10460 	10480 	10440 	10280 	10250 	10220 	10560 	11120 	11820 	12560 p
B1GQ,CP_EUR_HAB,HU	10170 	10780 	9420 	9900 	10180 	10050 	10310 	10730 	11400 	11740 	12830 	13690 
B1GQ,CP_EUR_HAB,IE	44820 	41760 	37470 	36790 	37310 	38090 	38890 	41870 	55970 	57210 	61870 	66670 
B1GQ,CP_EUR_HAB,IS	50500 	34280 	29530 	32490 	34130 	35730 	37260 	40900 	47400 	55590 	63130 	62340 
B1GQ,CP_EUR_HAB,IT	27470 	27640 	26470 	26930 	27450 	26920 	26590 	26770 	27260 	27970 	28690 	29220 
B1GQ,CP_EUR_HAB,LI	: 	: 	: 	: 	: 	: 	128400 	133200 	148400 	146700 p	148200 e	: 
B1GQ,CP_EUR_HAB,LT	8990 	10220 	8520 	9030 b	10310 	11160 	11830 	12460 	12850 	13560 	14940 	16160 
B1GQ,CP_EUR_HAB,LU	77340 	77940 	74220 	79160 	83100 	83000 	85270 	89240 	91440 	93930 	95170 	98640 
B1GQ,CP_EUR_HAB,LV	10300 	11200 	8780 	8500 	9820 	10870 	11350 	11860 	12350 	12800 	13810 	15130 
B1GQ,CP_EUR_HAB,ME	4370 	5030 	4840 	5050 	5270 	5130 	5410 	5560 	5870 	6350 	6910 	7490 
B1GQ,CP_EUR_HAB,MK	2980 e	3310 e	3300 e	3460 e	3660 e	3680 e	3950 e	4140 e	4380 e	4660 e	: 	: 
B1GQ,CP_EUR_HAB,MT	14160 	14970 	14880 	15920 	16410 	17060 	17940 	19560 	21690 	22710 	24130 	25560 
B1GQ,CP_EUR_HAB,NL	37800 	39350 	37800 	38470 	38960 	38970 	39300 	39820 	40730 	41590 	43090 p	44920 p
B1GQ,CP_EUR_HAB,NO	62260 	66490 	57620 	66220 	72350 	79000 	77440 	73180 	66970 	63690 	66950 	69230 
